timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2023-09-25T17:00:00,1001A,116.3621,39.8784,北京市,万寿西宫,颗粒物(PM10),51,52,52,23,28,74,65,57,57,31,39,3,2,0.5,0.6
2023-09-25T17:00:00,1002A,116.2202,40.2915,北京市,定陵,,37,37,31,20,21,65,65,31,31,16,7,1,2,0.5,0.4
2023-09-25T17:00:00,1003A,116.4174,39.9289,北京市,东四,,48,48,56,26,27,90,84,68,68,24,38,3,2,0.5,0.6
2023-09-25T17:00:00,1004A,116.4072,39.8863,北京市,天坛,,39,39,47,22,28,81,71,60,60,26,34,3,2,0.5,0.7
2023-09-25T17:00:00,1005A,116.462,39.9365,北京市,农展馆,,50,50,54,26,27,79,76,59,59,27,40,3,2,0.5,0.7
2023-09-25T17:00:00,1006A,116.3392,39.9295,北京市,官园,,50,50,55,26,26,89,87,67,67,21,32,3,2,0.5,0.6
2023-09-25T17:00:00,1007A,116.2878,39.9611,北京市,海淀万柳,,44,44,48,20,24,89,86,66,66,29,39,3,3,0.5,0.5
2023-09-25T17:00:00,1008A,116.6636,40.135,北京市,顺义新城,颗粒物(PM10),55,59,44,35,22,93,80,65,65,31,32,1,2,0.5,0.5
2023-09-25T17:00:00,1009A,116.6275,40.3275,北京市,怀柔镇,,37,37,25,21,16,84,84,66,66,17,12,1,3,0.3,0.3
2023-09-25T17:00:00,1010A,116.2296,40.217,北京市,昌平镇,,43,43,41,20,22,80,80,52,52,32,30,3,3,0.6,0.5
2023-09-25T17:00:00,1011A,116.3966,39.9821,北京市,奥体中心,,44,44,45,23,26,77,77,60,60,22,36,3,2,0.4,0.6
2023-09-25T17:00:00,1012A,116.184,39.9136,北京市,古城,,37,37,51,18,26,93,87,61,61,18,36,3,3,0.7,0.8
2023-09-25T17:00:00,1015A,117.1444,39.1661,天津市,勤俭道,,49,49,62,27,34,135,109,101,101,20,42,8,11,0.6,0.9
