provinceid,citycode,timepoint,timepointstr,area,positionname,stationcode,co,co_24h,latitude,longitude,measure,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,so2,so2_24h,aqi,colevel,no2level,o3level,o3_8hlevel,pm10level,pm2_5level,so2level,primarypollutant,quality,unheathful,orderid,ispublish,no,no_24h,nox,nox_24h
23,513200,2024-05-11T1800,2024年05月11日 18时,阿坝藏族羌族自治州,州农科所,2566A,0.3,0.5,31.914,102.1879,各类人群可正常活动,19,16,46,—,52,52,20,26,4,12,3,3,20,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
23,513200,2024-05-11T1800,2024年05月11日 18时,阿坝藏族羌族自治州,马师校,2568A,0.3,0.3,31.8896,102.2502,各类人群可正常活动,8,9,68,—,73,73,—,14,13,15,3,3,22,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
23,513200,2024-05-11T1800,2024年05月11日 18时,阿坝藏族羌族自治州,马尔康中学西区,3994A,0.3,0.3,31.9024,102.2165,各类人群可正常活动,4,6,72,—,76,76,22,21,12,14,3,3,23,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
31,652900,2024-05-11T1800,2024年05月11日 18时,阿克苏地区,电视台,2695A,0.2,0.4,41.1694,80.292,极少数异常敏感人群应减少户外活动,6,28,126,—,113,113,124,192,28,54,5,6,87,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
31,652900,2024-05-11T1800,2024年05月11日 18时,阿克苏地区,艺术中心,2696A,0.3,0.6,41.1551,80.2613,极少数异常敏感人群应减少户外活动,8,48,130,—,109,109,114,197,30,69,3,4,82,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
5,152900,2024-05-11T1800,2024年05月11日 18时,阿拉善盟,西城区西花园,2204A,0.5,0.6,38.8363,105.6467,各类人群可正常活动,8,8,123,—,121,121,41,134,13,34,8,8,41,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,152900,2024-05-11T1800,2024年05月11日 18时,阿拉善盟,蒙二幼,2205A,0.4,0.4,38.8411,105.6985,极少数异常敏感人群应减少户外活动,6,7,117,—,114,114,54,153,14,44,8,9,52,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
5,152900,2024-05-11T1800,2024年05月11日 18时,阿拉善盟,环保局新楼,2206A,0.4,0.4,38.8516,105.724,极少数异常敏感人群应减少户外活动,6,5,116,—,114,114,60,136,15,39,8,9,55,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
31,654300,2024-05-11T1800,2024年05月11日 18时,阿勒泰地区,市站,2708A,0.2,0.2,47.8517,88.1264,各类人群可正常活动,10,7,122,—,118,118,18,25,5,5,5,5,39,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
26,542500,2024-05-11T1800,2024年05月11日 18时,阿里地区,阿里监测站,2630A,0.5,0.5,32.5,80.1161,各类人群可正常活动,6,16,157,—,142,142,30,27,11,9,4,5,50,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
26,542500,2024-05-11T1800,2024年05月11日 18时,阿里地区,阿里藏医院,3192A,0.4,0.5,32.5028,80.0903,极少数异常敏感人群应减少户外活动,3,7,166,—,154,154,18,17,5,6,9,11,58,1,1,2,3,1,1,1,臭氧1小时,良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610900,2024-05-11T1800,2024年05月11日 18时,安康市,香溪洞,2642A,0.5,0.5,32.6537,109.0318,极少数异常敏感人群应减少户外活动,6,5,90,—,80,80,84,30,22,11,8,6,67,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610900,2024-05-11T1800,2024年05月11日 18时,安康市,安康市监测站,2643A,0.4,0.5,32.6939,109.0281,极少数异常敏感人群应减少户外活动,10,11,99,—,86,86,66,44,23,22,9,10,58,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610900,2024-05-11T1800,2024年05月11日 18时,安康市,汉滨区检察院,2644A,0.4,0.5,32.6975,109.0072,极少数异常敏感人群应减少户外活动,9,10,91,—,81,81,55,40,22,22,9,9,53,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340800,2024-05-11T1800,2024年05月11日 18时,安庆市,环科院,2291A,0.7,0.7,30.5177,117.0809,各类人群可正常活动,22,23,59,—,61,59,33,46,26,36,7,8,38,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
12,340800,2024-05-11T1800,2024年05月11日 18时,安庆市,马山宾馆,2292A,0.7,0.7,30.5119,117.0331,各类人群可正常活动,22,32,62,—,57,57,29,44,29,37,6,8,42,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
12,340800,2024-05-11T1800,2024年05月11日 18时,安庆市,安庆大学,2294A,0.6,0.6,30.6145,116.9896,各类人群可正常活动,14,16,80,—,84,68,30,45,14,34,7,8,30,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
12,340800,2024-05-11T1800,2024年05月11日 18时,安庆市,市人大,3173A,0.7,0.7,30.5351,117.0598,各类人群可正常活动,16,14,66,—,70,67,34,42,26,32,5,7,38,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
24,520400,2024-05-11T1800,2024年05月11日 18时,安顺市,伍家关,3122A,—,—,26.2611,105.9606,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0,0,0,0,—,—,—,1,False,—,—,—,—
24,520400,2024-05-11T1800,2024年05月11日 18时,安顺市,凤凰山,3123A,0.3,0.3,26.2431,105.9408,各类人群可正常活动,7,6,92,—,101,101,19,18,14,13,8,8,29,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
24,520400,2024-05-11T1800,2024年05月11日 18时,安顺市,金钟山,3124A,0.2,0.3,26.2564,105.9439,各类人群可正常活动,8,6,86,—,96,96,17,18,12,14,5,5,27,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
24,520400,2024-05-11T1800,2024年05月11日 18时,安顺市,娄家坡,3125A,0.5,0.4,26.2481,105.8983,各类人群可正常活动,7,5,89,—,97,97,29,30,15,16,8,7,29,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,棉研所,1818A,—,—,36.0621,114.4839,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0,0,0,0,—,—,—,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,红庙街,1819A,0.5,0.5,36.1017,114.3551,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,2,6,128,—,117,117,220,247,50,53,4,5,135,1,1,1,2,3,2,1,颗粒物(PM10),轻度污染,易感人群症状有轻度加剧，健康人群出现刺激症状,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,银杏小区,1820A,0.2,0.3,36.0681,114.361,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,1,2,127,—,114,114,216,255,62,67,8,7,133,1,1,1,2,3,2,1,颗粒物(PM10),轻度污染,易感人群症状有轻度加剧，健康人群出现刺激症状,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,信访局,3141A,0.4,0.5,36.0878,114.3922,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,4,6,123,—,114,114,213,239,70,65,2,3,132,1,1,1,2,3,2,1,颗粒物(PM10),轻度污染,易感人群症状有轻度加剧，健康人群出现刺激症状,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,左辅环卫站,3669A,0.5,0.6,36.0637,114.4705,儿童、老年人及心脏病、呼吸系统疾病患者应减少长时间、高强度的户外锻炼,1,7,117,—,111,111,208,236,45,52,7,7,129,1,1,1,2,3,2,1,颗粒物(PM10),轻度污染,易感人群症状有轻度加剧，健康人群出现刺激症状,1,False,—,—,—,—
16,410500,2024-05-11T1800,2024年05月11日 18时,安阳市,安钢职工学校,3703A,0.4,0.8,36.0949,114.2917,儿童、老年人及心脏病、呼吸系统疾病患者避免长时间、高强度的户外锻练，一般人群适量减少户外运动,8,12,126,—,113,113,295,279,73,60,7,8,173,1,1,1,2,4,2,1,颗粒物(PM10),中度污染,进一步加剧易感人群症状，可能对健康人群心脏、呼吸系统有影响,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,深沟寺,1748A,0.6,0.6,41.1196,123.044,极少数异常敏感人群应减少户外活动,18,8,68,—,95,93,64,100,17,27,9,7,57,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,太阳城,1749A,0.6,0.8,41.0931,123.011,—,—,13,38,—,98,93,58,87,11,20,—,7,—,1,0,1,1,2,1,0,—,—,—,1,False,—,—,—,—
