stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
2566A,2024-11-06T1300,102.1879,31.914,9,29,0,7,8,49,32,29,—,州农科所,阿坝藏族羌族自治州
2568A,2024-11-06T1300,102.2502,31.8896,—,—,0.3,10,4,43,23,—,—,马师校,阿坝藏族羌族自治州
3994A,2024-11-06T1300,102.2165,31.9024,13,—,0.5,12,6,40,25,19,—,马尔康中学西区,阿坝藏族羌族自治州
2695A,2024-11-06T1300,80.292,41.1694,36,121,0.6,36,13,72,58,86,颗粒物(PM10),电视台,阿克苏地区
2696A,2024-11-06T1300,80.2613,41.1551,29,122,0.9,52,4,51,68,86,颗粒物(PM10),艺术中心,阿克苏地区
2204A,2024-11-06T1300,105.6467,38.8363,11,36,0.6,12,17,121,88,38,—,西城区西花园,阿拉善盟
2205A,2024-11-06T1300,105.6985,38.8411,—,—,—,—,—,—,84,—,—,蒙二幼,阿拉善盟
2206A,2024-11-06T1300,105.724,38.8516,26,61,0.5,14,12,108,88,56,颗粒物(PM10),环保局新楼,阿拉善盟
2708A,2024-11-06T1300,88.1264,47.8517,7,20,0.4,14,8,58,64,20,—,市站,阿勒泰地区
2630A,2024-11-06T1300,80.1161,32.5,3,14,0.5,5,5,64,55,20,—,阿里监测站,阿里地区
3192A,2024-11-06T1300,80.0903,32.5028,13,30,0.6,12,7,75,55,30,—,阿里藏医院,阿里地区
2642A,2024-11-06T1300,109.0318,32.6537,22,48,0.3,11,10,83,37,48,—,香溪洞,安康市
2644A,2024-11-06T1300,109.0072,32.6975,33,40,0.4,11,7,93,29,48,—,汉滨区检察院,安康市
4054A,2024-11-06T1300,109.0325,32.6913,31,55,0.5,11,8,96,28,53,颗粒物(PM10),市邮政管理局,安康市
2291A,2024-11-06T1300,117.0809,30.5177,36,52,0.6,24,12,107,62,52,细颗粒物(PM2.5),环科院,安庆市
2292A,2024-11-06T1300,117.0331,30.5119,36,60,0.5,24,10,110,69,55,颗粒物(PM10),马山宾馆,安庆市
2294A,2024-11-06T1300,116.9896,30.6145,24,49,0.5,15,13,115,62,49,—,安庆大学,安庆市
3173A,2024-11-06T1300,117.0598,30.5351,34,57,0.5,31,15,102,61,54,颗粒物(PM10),市人大,安庆市
3122A,2024-11-06T1300,105.9606,26.2611,32,39,0.8,9,19,90,65,46,—,伍家关,安顺市
3123A,2024-11-06T1300,105.9408,26.2431,40,54,0.6,14,24,92,64,57,细颗粒物(PM2.5),凤凰山,安顺市
3124A,2024-11-06T1300,105.9439,26.2564,41,47,0.7,10,21,98,68,58,细颗粒物(PM2.5),金钟山,安顺市
3125A,2024-11-06T1300,105.8983,26.2481,44,50,0.6,14,19,90,62,62,细颗粒物(PM2.5),娄家坡,安顺市
1818A,2024-11-06T1300,114.4839,36.0621,55,85,0.4,29,10,95,36,75,细颗粒物(PM2.5),棉研所,安阳市
1819A,2024-11-06T1300,114.3551,36.1017,53,69,0.4,20,5,87,29,73,细颗粒物(PM2.5),红庙街,安阳市
1820A,2024-11-06T1300,114.361,36.0681,50,71,0.6,17,6,93,30,69,细颗粒物(PM2.5),银杏小区,安阳市
3141A,2024-11-06T1300,114.3922,36.0878,62,80,0.4,19,7,88,27,84,细颗粒物(PM2.5),信访局,安阳市
3669A,2024-11-06T1300,114.4705,36.0637,60,104,0.4,19,5,90,39,82,细颗粒物(PM2.5),左辅环卫站,安阳市
3703A,2024-11-06T1300,114.2917,36.0949,65,94,0.4,25,6,85,28,88,细颗粒物(PM2.5),安钢职工学校,安阳市
1748A,2024-11-06T1300,123.044,41.1196,11,29,0.4,14,8,63,28,29,—,深沟寺,鞍山市
1749A,2024-11-06T1300,123.011,41.0931,12,22,0.3,18,8,58,30,22,—,太阳城,鞍山市
1750A,2024-11-06T1300,123.0485,41.1442,13,26,0.4,17,16,58,22,26,—,太平,鞍山市
1751A,2024-11-06T1300,122.9642,41.0971,16,36,0.9,33,26,42,21,36,—,铁西三道街,鞍山市
1752A,2024-11-06T1300,122.9341,41.0833,20,46,1.4,40,31,39,19,46,—,铁西工业园区,鞍山市
1753A,2024-11-06T1300,123.022,41.0821,12,20,0.4,14,9,57,29,20,—,明达新区,鞍山市
1754A,2024-11-06T1300,123.1289,41.0228,—,—,—,—,—,—,38,—,—,千山,鞍山市
2195A,2024-11-06T1300,107.4212,40.761,34,104,0.6,35,18,44,20,77,颗粒物(PM10),附二中,巴彦淖尔市
2196A,2024-11-06T1300,107.37,40.7372,24,66,0.6,30,8,50,24,58,颗粒物(PM10),市环保大楼,巴彦淖尔市
1956A,2024-11-06T1300,86.1472,41.7538,41,127,0.5,39,8,58,14,89,颗粒物(PM10),孔雀公园,巴音郭楞蒙古自治州
1957A,2024-11-06T1300,86.1972,41.7166,30,132,0.3,24,5,76,30,91,颗粒物(PM10),棉纺厂,巴音郭楞蒙古自治州
1958A,2024-11-06T1300,86.2357,41.7173,35,110,0.3,21,5,80,50,80,颗粒物(PM10),经济开发区,巴音郭楞蒙古自治州
2914A,2024-11-06T1300,106.7677,31.8794,22,29,0.4,14,5,40,56,32,—,苏山坪,巴中市
3182A,2024-11-06T1300,106.7656,31.8545,31,41,0.7,33,4,22,14,45,—,丽阳花园,巴中市
3183A,2024-11-06T1300,106.7418,31.8654,18,24,0.5,21,4,23,21,26,—,圣泉水务公司,巴中市
3616A,2024-11-06T1300,106.7616,31.8344,28,43,0.7,35,4,23,8,43,—,市中心医院,巴中市
2235A,2024-11-06T1300,122.7911,45.6077,12,22,0.2,11,4,65,36,22,—,洮北区环保局,白城市
2236A,2024-11-06T1300,122.8738,45.5725,12,14,0.4,10,4,69,39,22,—,市环保局,白城市
2231A,2024-11-06T1300,126.4219,41.9171,19,—,0.4,—,11,62,36,—,—,喜丰,白山市
2232A,2024-11-06T1300,126.4077,41.9419,10,26,0.5,9,6,57,38,26,—,环保局,白山市
2647A,2024-11-06T1300,104.1724,36.5446,62,76,1.0,33,40,52,28,84,细颗粒物(PM2.5),第三小学,白银市
2648A,2024-11-06T1300,104.1465,36.5482,63,75,1.2,29,37,59,34,85,细颗粒物(PM2.5),动力公司,白银市
2512A,2024-11-06T1300,106.6103,23.9011,33,66,—,8,10,110,34,—,—,市监测站,百色市
2513A,2024-11-06T1300,106.6538,23.8859,37,53,0.8,8,8,120,46,53,细颗粒物(PM2.5),市中心血站,百色市
3406A,2024-11-06T1300,106.6085,23.8798,30,57,0.7,8,5,116,44,54,颗粒物(PM10),祈福高中,百色市
2270A,2024-11-06T1300,117.396,32.939,26,52,0.5,18,8,86,41,51,颗粒物(PM10),工人疗养院,蚌埠市
2271A,2024-11-06T1300,117.3605,32.9427,30,59,0.4,21,9,81,40,55,颗粒物(PM10),百货大楼,蚌埠市
2273A,2024-11-06T1300,117.4185,32.8911,25,39,0.3,16,9,94,46,39,—,蚌埠学院,蚌埠市
2274A,2024-11-06T1300,117.3533,32.9673,30,58,—,20,10,83,33,—,—,淮上区政府,蚌埠市
2275A,2024-11-06T1300,117.3145,32.8977,22,44,0.3,16,8,93,46,44,—,高新区,蚌埠市
3715A,2024-11-06T1300,117.3092,32.9314,29,55,0.3,15,8,90,44,53,颗粒物(PM10),蚌埠田家炳中学,蚌埠市
1585A,2024-11-06T1300,109.8756,40.6532,32,60,0.9,42,30,41,18,55,颗粒物(PM10),市环境监测站,包头市
1587A,2024-11-06T1300,109.9991,40.5842,29,66,0.8,38,32,45,19,58,颗粒物(PM10),包头八中,包头市
1588A,2024-11-06T1300,109.8538,40.6821,38,57,1.0,44,36,—,11,—,—,青山宾馆,包头市
1589A,2024-11-06T1300,109.8642,40.6288,19,51,0.9,39,17,45,19,51,颗粒物(PM10),惠龙物流,包头市
1590A,2024-11-06T1300,110.0377,40.5546,18,41,0.7,33,16,43,20,41,—,东河鸿龙湾,包头市
3283A,2024-11-06T1300,109.9154,40.5685,19,41,0.6,32,17,53,29,41,—,滨河大厦,包头市
3419A,2024-11-06T1300,109.9447,40.6261,31,58,1.2,39,41,45,20,54,颗粒物(PM10),包头市委党校,包头市
3683A,2024-11-06T1300,109.8331,40.6576,35,57,0.7,38,23,44,17,54,颗粒物(PM10),昆区政府,包头市
1930A,2024-11-06T1300,107.185,34.3063,57,168,0.7,16,8,40,24,109,颗粒物(PM10),庙沟村,宝鸡市
1931A,2024-11-06T1300,107.0708,34.3017,96,108,0.7,19,10,62,21,127,细颗粒物(PM2.5),竹园沟,宝鸡市
1932A,2024-11-06T1300,107.1906,34.3672,103,120,0.8,26,8,56,16,135,细颗粒物(PM2.5),三陆医院,宝鸡市
1933A,2024-11-06T1300,107.1431,34.3547,102,118,0.8,31,11,44,14,134,细颗粒物(PM2.5),监测站,宝鸡市
1934A,2024-11-06T1300,107.1186,34.3739,99,111,0.9,30,12,64,20,130,细颗粒物(PM2.5),技工学校,宝鸡市
