area,positionname,stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,2566A,2024-11-06T1400,102.1879,31.914,7,17,0,5,8,56,36,18,—
阿坝藏族羌族自治州,马师校,2568A,2024-11-06T1400,102.2502,31.8896,12,—,0.3,7,4,48,28,—,—
阿坝藏族羌族自治州,马尔康中学西区,3994A,2024-11-06T1400,102.2165,31.9024,11,14,0.5,10,6,47,29,16,—
阿克苏地区,电视台,2695A,2024-11-06T1400,80.292,41.1694,32,105,0.6,33,12,81,58,78,颗粒物(PM10)
阿克苏地区,艺术中心,2696A,2024-11-06T1400,80.2613,41.1551,30,113,0.8,44,3,66,68,82,颗粒物(PM10)
阿拉善盟,西城区西花园,2204A,2024-11-06T1400,105.6467,38.8363,20,32,0.6,—,17,129,95,—,—
阿拉善盟,蒙二幼,2205A,2024-11-06T1400,105.6985,38.8411,—,—,—,—,—,—,84,—,—
阿拉善盟,环保局新楼,2206A,2024-11-06T1400,105.724,38.8516,27,59,0.5,14,14,115,91,55,颗粒物(PM10)
阿勒泰地区,市站,2708A,2024-11-06T1400,88.1264,47.8517,14,24,0.4,14,10,45,64,24,—
阿里地区,阿里监测站,2630A,2024-11-06T1400,80.1161,32.5,3,12,0.5,6,6,77,57,25,—
阿里地区,阿里藏医院,3192A,2024-11-06T1400,80.0903,32.5028,9,16,0.5,8,6,86,58,27,—
安康市,香溪洞,2642A,2024-11-06T1400,109.0318,32.6537,21,36,0.3,9,9,94,45,36,—
安康市,汉滨区检察院,2644A,2024-11-06T1400,109.0072,32.6975,29,38,0.4,10,8,112,41,42,—
安康市,市邮政管理局,4054A,2024-11-06T1400,109.0325,32.6913,23,42,0.5,10,8,107,40,42,—
安庆市,环科院,2291A,2024-11-06T1400,117.0809,30.5177,36,62,0.6,24,12,118,71,56,颗粒物(PM10)
安庆市,马山宾馆,2292A,2024-11-06T1400,117.0331,30.5119,36,65,0.5,24,9,120,77,58,颗粒物(PM10)
安庆市,安庆大学,2294A,2024-11-06T1400,116.9896,30.6145,23,43,0.5,14,12,126,73,43,—
安庆市,市人大,3173A,2024-11-06T1400,117.0598,30.5351,35,60,0.5,29,15,116,69,55,颗粒物(PM10)
安顺市,伍家关,3122A,2024-11-06T1400,105.9606,26.2611,29,36,0.7,10,17,93,71,42,—
安顺市,凤凰山,3123A,2024-11-06T1400,105.9408,26.2431,29,41,0.5,10,15,102,72,42,—
安顺市,金钟山,3124A,2024-11-06T1400,105.9439,26.2564,32,35,0.6,9,16,104,76,46,—
安顺市,娄家坡,3125A,2024-11-06T1400,105.8983,26.2481,39,42,0.6,11,17,100,69,55,细颗粒物(PM2.5)
安阳市,棉研所,1818A,2024-11-06T1400,114.4839,36.0621,57,80,0.4,27,10,107,49,78,细颗粒物(PM2.5)
安阳市,红庙街,1819A,2024-11-06T1400,114.3551,36.1017,56,80,0.4,18,5,96,40,77,细颗粒物(PM2.5)
安阳市,银杏小区,1820A,2024-11-06T1400,114.361,36.0681,53,67,0.6,16,5,102,43,73,细颗粒物(PM2.5)
安阳市,信访局,3141A,2024-11-06T1400,114.3922,36.0878,64,88,0.4,15,7,97,39,87,细颗粒物(PM2.5)
安阳市,左辅环卫站,3669A,2024-11-06T1400,114.4705,36.0637,60,110,0.4,16,5,102,53,82,细颗粒物(PM2.5)
安阳市,安钢职工学校,3703A,2024-11-06T1400,114.2917,36.0949,66,81,0.4,25,7,93,40,89,细颗粒物(PM2.5)
鞍山市,深沟寺,1748A,2024-11-06T1400,123.044,41.1196,13,31,0.4,15,8,63,34,31,—
鞍山市,太阳城,1749A,2024-11-06T1400,123.011,41.0931,14,26,0.5,22,14,61,36,26,—
鞍山市,太平,1750A,2024-11-06T1400,123.0485,41.1442,18,34,0.4,24,17,55,28,34,—
鞍山市,铁西三道街,1751A,2024-11-06T1400,122.9642,41.0971,19,42,1.2,32,25,47,27,42,—
鞍山市,铁西工业园区,1752A,2024-11-06T1400,122.9341,41.0833,16,41,1.6,38,30,45,23,41,—
鞍山市,明达新区,1753A,2024-11-06T1400,123.022,41.0821,15,24,0.7,18,15,60,36,24,—
鞍山市,千山,1754A,2024-11-06T1400,123.1289,41.0228,7,16,0.5,13,—,63,46,—,—
巴彦淖尔市,附二中,2195A,2024-11-06T1400,107.4212,40.761,35,89,0.6,32,22,56,27,70,颗粒物(PM10)
