area,positionname,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,州农科所,2024-11-06T1500,102.1879,31.914,3,13,0,8,8,61,41,20,
阿坝藏族羌族自治州,马师校,2024-11-06T1500,102.2502,31.8896,15,,0.3,6,4,56,35,,
阿坝藏族羌族自治州,马尔康中学西区,2024-11-06T1500,102.2165,31.9024,12,,0.4,8,6,55,33,18,
阿克苏地区,电视台,2024-11-06T1500,80.292,41.1694,30,116,0.6,33,12,90,58,83,颗粒物(PM10)
阿克苏地区,艺术中心,2024-11-06T1500,80.2613,41.1551,33,115,0.8,32,4,93,68,83,颗粒物(PM10)
阿拉善盟,西城区西花园,2024-11-06T1500,105.6467,38.8363,29,43,0.6,,16,129,103,,
阿拉善盟,蒙二幼,2024-11-06T1500,105.6985,38.8411,,,,,,,84,,
阿拉善盟,环保局新楼,2024-11-06T1500,105.724,38.8516,23,49,0.5,14,13,112,95,49,
阿勒泰地区,市站,2024-11-06T1500,88.1264,47.8517,8,24,0.4,15,14,47,64,24,
阿里地区,阿里监测站,2024-11-06T1500,80.1161,32.5,3,13,0.4,2,8,84,61,27,
阿里地区,阿里藏医院,2024-11-06T1500,80.0903,32.5028,3,9,0.4,4,6,93,63,30,
安康市,香溪洞,2024-11-06T1500,109.0318,32.6537,21,48,0.3,11,9,104,56,48,
安康市,汉滨区检察院,2024-11-06T1500,109.0072,32.6975,24,34,0.4,13,7,106,53,35,
安康市,市邮政管理局,2024-11-06T1500,109.0325,32.6913,20,37,0.5,11,7,109,53,37,
安庆市,环科院,2024-11-06T1500,117.0809,30.5177,35,64,0.6,23,12,131,82,57,颗粒物(PM10)
安庆市,马山宾馆,2024-11-06T1500,117.0331,30.5119,37,65,,23,10,132,87,,
安庆市,安庆大学,2024-11-06T1500,116.9896,30.6145,22,42,0.4,14,12,134,86,42,
安庆市,市人大,2024-11-06T1500,117.0598,30.5351,36,69,0.5,29,15,127,80,60,颗粒物(PM10)
安顺市,伍家关,2024-11-06T1500,105.9606,26.2611,33,40,0.7,10,14,92,78,48,
安顺市,凤凰山,2024-11-06T1500,105.9408,26.2431,30,43,0.5,9,14,103,79,43,
安顺市,金钟山,2024-11-06T1500,105.9439,26.2564,36,37,0.6,10,15,104,82,52,细颗粒物(PM2.5)
安顺市,娄家坡,2024-11-06T1500,105.8983,26.2481,36,40,0.6,11,13,100,77,52,细颗粒物(PM2.5)
安阳市,棉研所,2024-11-06T1500,114.4839,36.0621,58,76,0.4,27,10,113,63,79,细颗粒物(PM2.5)
安阳市,红庙街,2024-11-06T1500,114.3551,36.1017,55,73,0.4,18,6,102,52,75,细颗粒物(PM2.5)
安阳市,银杏小区,2024-11-06T1500,114.361,36.0681,56,75,0.6,16,6,109,56,77,细颗粒物(PM2.5)
安阳市,信访局,2024-11-06T1500,114.3922,36.0878,64,104,0.4,16,7,99,51,87,细颗粒物(PM2.5)
安阳市,左辅环卫站,2024-11-06T1500,114.4705,36.0637,60,,0.4,15,4,109,67,,
安阳市,安钢职工学校,2024-11-06T1500,114.2917,36.0949,65,73,0.4,26,6,99,52,88,细颗粒物(PM2.5)
鞍山市,深沟寺,2024-11-06T1500,123.044,41.1196,16,34,0.5,20,10,60,40,34,
鞍山市,太阳城,2024-11-06T1500,123.011,41.0931,17,29,0.7,28,17,57,43,29,
鞍山市,太平,2024-11-06T1500,123.0485,41.1442,21,38,0.5,26,15,52,34,38,
鞍山市,铁西三道街,2024-11-06T1500,122.9642,41.0971,24,46,1.1,36,26,47,33,46,
鞍山市,铁西工业园区,2024-11-06T1500,122.9341,41.0833,17,42,1.6,41,33,43,27,42,
鞍山市,明达新区,2024-11-06T1500,123.022,41.0821,17,26,0.7,20,16,59,42,26,
鞍山市,千山,2024-11-06T1500,123.1289,41.0228,,,,,,,37,,
巴彦淖尔市,附二中,2024-11-06T1500,107.4212,40.761,38,85,0.7,35,23,64,35,68,颗粒物(PM10)
巴彦淖尔市,市环保大楼,2024-11-06T1500,107.37,40.7372,37,86,0.6,32,16,72,35,68,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,2024-11-06T1500,86.1472,41.7538,24,133,0.3,10,5,102,38,92,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,2024-11-06T1500,86.1972,41.7166,36,143,0.3,11,3,103,46,97,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,2024-11-06T1500,86.2357,41.7173,29,123,0.3,14,3,99,59,87,颗粒物(PM10)
巴中市,苏山坪,2024-11-06T1500,106.7677,31.8794,24,34,0.4,10,4,48,56,35,
巴中市,丽阳花园,2024-11-06T1500,106.7656,31.8545,28,39,0.7,37,4,14,15,40,
巴中市,圣泉水务公司,2024-11-06T1500,106.7418,31.8654,21,29,0.5,30,4,12,21,30,
巴中市,市中心医院,2024-11-06T1500,106.7616,31.8344,33,50,0.7,37,4,25,14,50,
白城市,洮北区环保局,2024-11-06T1500,122.7911,45.6077,11,17,0.2,9,4,66,49,21,
白城市,市环保局,2024-11-06T1500,122.8738,45.5725,9,17,0.4,9,3,70,50,22,
白山市,喜丰,2024-11-06T1500,126.4219,41.9171,3,11,0.3,2,8,69,49,22,
白山市,环保局,2024-11-06T1500,126.4077,41.9419,11,18,0.4,2,5,68,48,22,
白银市,第三小学,2024-11-06T1500,104.1724,36.5446,56,,0.9,23,26,94,45,77,细颗粒物(PM2.5)
白银市,动力公司,2024-11-06T1500,104.1465,36.5482,56,63,1.0,21,20,92,46,77,细颗粒物(PM2.5)
百色市,市监测站,2024-11-06T1500,106.6103,23.9011,32,46,0.6,8,,121,68,,
百色市,市中心血站,2024-11-06T1500,106.6538,23.8859,38,64,0.7,9,7,132,74,57,颗粒物(PM10)
百色市,祈福高中,2024-11-06T1500,106.6085,23.8798,31,54,0.7,8,4,127,71,52,颗粒物(PM10)
蚌埠市,工人疗养院,2024-11-06T1500,117.396,32.939,25,41,0.5,14,8,105,62,41,
蚌埠市,百货大楼,2024-11-06T1500,117.3605,32.9427,22,58,0.4,16,8,103,60,54,颗粒物(PM10)
蚌埠市,蚌埠学院,2024-11-06T1500,117.4185,32.8911,,,0.3,17,,,63,,
蚌埠市,淮上区政府,2024-11-06T1500,117.3533,32.9673,32,56,0.3,15,9,102,58,53,颗粒物(PM10)
蚌埠市,高新区,2024-11-06T1500,117.3145,32.8977,25,46,0.3,18,8,103,69,46,
蚌埠市,蚌埠田家炳中学,2024-11-06T1500,117.3092,32.9314,26,56,0.3,20,8,101,64,53,颗粒物(PM10)
包头市,市环境监测站,2024-11-06T1500,109.8756,40.6532,16,44,0.8,37,22,63,32,44,
包头市,包头八中,2024-11-06T1500,109.9991,40.5842,34,70,1.2,40,51,54,31,60,颗粒物(PM10)
包头市,青山宾馆,2024-11-06T1500,109.8538,40.6821,38,,0.8,37,,64,22,,
包头市,惠龙物流,2024-11-06T1500,109.8642,40.6288,19,44,0.7,38,20,59,33,44,
包头市,东河鸿龙湾,2024-11-06T1500,110.0377,40.5546,22,46,0.7,31,18,59,33,46,
包头市,滨河大厦,2024-11-06T1500,109.9154,40.5685,15,29,0.7,35,18,58,44,29,
包头市,包头市委党校,2024-11-06T1500,109.9447,40.6261,22,46,1.2,40,42,56,34,46,
包头市,昆区政府,2024-11-06T1500,109.8331,40.6576,38,42,0.7,37,18,65,31,54,细颗粒物(PM2.5)
宝鸡市,庙沟村,2024-11-06T1500,107.185,34.3063,64,81,0.7,18,8,73,34,87,细颗粒物(PM2.5)
宝鸡市,竹园沟,2024-11-06T1500,107.0708,34.3017,89,92,0.7,18,8,74,35,118,细颗粒物(PM2.5)
宝鸡市,三陆医院,2024-11-06T1500,107.1906,34.3672,107,112,0.8,26,9,89,35,140,细颗粒物(PM2.5)
宝鸡市,监测站,2024-11-06T1500,107.1431,34.3547,102,121,0.7,26,9,79,31,134,细颗粒物(PM2.5)
宝鸡市,技工学校,2024-11-06T1500,107.1186,34.3739,99,100,0.9,35,9,82,37,130,细颗粒物(PM2.5)
宝鸡市,陈仓区环保局家属楼,2024-11-06T1500,107.3906,34.3528,91,104,0.8,21,13,124,57,120,细颗粒物(PM2.5)
宝鸡市,文理学院,2024-11-06T1500,107.2058,34.3497,98,108,0.6,27,11,86,31,129,细颗粒物(PM2.5)
宝鸡市,三迪小学,2024-11-06T1500,107.2386,34.3622,98,107,0.8,29,14,102,38,129,细颗粒物(PM2.5)
保定市,游泳馆,2024-11-06T1500,115.493,38.8632,,,0.5,35,130,,29,,
保定市,华电二区,2024-11-06T1500,115.5213,38.8959,53,85,0.5,31,11,74,27,73,细颗粒物(PM2.5)
保定市,接待中心,2024-11-06T1500,115.4713,38.9108,52,81,0.4,31,13,67,27,72,细颗粒物(PM2.5)
保定市,地表水厂,2024-11-06T1500,115.4612,38.8416,58,101,0.3,35,13,73,31,79,细颗粒物(PM2.5)
保定市,满城区生态环境分局,2024-11-06T1500,115.31981,38.95208,61,97,0.7,51,14,69,33,83,细颗粒物(PM2.5)
保定市,清苑区第二中学,2024-11-06T1500,115.47694,38.76408,43,67,0.5,27,10,78,35,60,细颗粒物(PM2.5)
保定市,徐水物探局,2024-11-06T1500,115.62909,39.02311,61,93,1.0,40,12,72,29,83,细颗粒物(PM2.5)
保定市,双鹰农机,2024-11-06T1500,115.4202,38.8656,46,86,0.5,34,13,71,32,68,颗粒物(PM10)
保定市,植保所站,2024-11-06T1500,115.5150,38.8590,45,75,0.3,31,6,74,31,63,"颗粒物(PM10),细颗粒物(PM2.5)"
保山市,市环境监测站,2024-11-06T1500,99.1678,25.1081,3,15,0.5,8,5,67,36,21,
保山市,市环保局,2024-11-06T1500,99.1711,25.1328,14,,0.4,6,5,70,40,22,
北海市,牛尾岭水库,2024-11-06T1500,109.2262,21.588,30,40,0.7,,5,117,94,,
北海市,海滩公园,2024-11-06T1500,109.1436,21.4086,32,43,0.9,9,9,138,117,46,
北海市,新市环保局,2024-11-06T1500,109.0981,21.4661,36,58,0.8,10,7,141,113,54,颗粒物(PM10)
北海市,北海工业园,2024-11-06T1500,109.1778,21.5233,32,71,0.5,10,8,132,110,61,颗粒物(PM10)
北海市,龙潭自来水厂,2024-11-06T1500,109.1911,21.4415,39,46,0.7,6,9,134,111,55,细颗粒物(PM2.5)
北京市,万寿西宫,2024-11-06T1500,116.3621,39.8784,41,77,0.6,44,5,41,19,64,颗粒物(PM10)
北京市,定陵,2024-11-06T1500,116.2202,40.2915,21,37,0.5,24,4,31,24,37,
北京市,东四,2024-11-06T1500,116.4174,39.9289,38,77,0.6,38,8,45,22,64,颗粒物(PM10)
北京市,天坛,2024-11-06T1500,116.4072,39.8863,46,75,0.5,43,4,42,19,64,细颗粒物(PM2.5)
北京市,农展馆,2024-11-06T1500,116.462,39.9365,43,76,0.6,42,4,46,20,63,颗粒物(PM10)
北京市,官园,2024-11-06T1500,116.3392,39.9295,,,,,,,15,,
北京市,海淀万柳,2024-11-06T1500,116.2878,39.9611,39,76,0.5,36,6,46,24,63,颗粒物(PM10)
北京市,顺义新城,2024-11-06T1500,116.6636,40.135,27,48,0.6,30,5,48,32,48,
北京市,怀柔镇,2024-11-06T1500,116.6275,40.3275,19,36,0.2,20,5,61,42,36,
北京市,昌平镇,2024-11-06T1500,116.2296,40.217,27,61,0.5,34,8,44,27,56,颗粒物(PM10)
北京市,奥体中心,2024-11-06T1500,116.3966,39.9821,47,96,0.8,41,4,41,18,73,颗粒物(PM10)
北京市,古城,2024-11-06T1500,116.184,39.9136,43,88,0.8,35,7,50,28,69,颗粒物(PM10)
北京市,延庆夏都,2024-11-06T1500,115.9718,40.4529,17,30,0.2,19,1,48,28,30,
北京市,平谷新城,2024-11-06T1500,117.0709,40.1465,16,31,0.4,16,3,61,38,31,
北京市,密云新城,2024-11-06T1500,116.8336,40.4095,17,38,0.3,16,3,59,37,38,
北京市,门头沟三家店,2024-11-06T1500,116.088,39.9726,33,75,0.5,45,8,50,35,63,颗粒物(PM10)
北京市,丰台云岗,2024-11-06T1500,116.1541,39.8204,43,80,0.4,35,6,50,26,65,颗粒物(PM10)
北京市,通州东关,2024-11-06T1500,116.6804,39.9081,39,74,0.5,30,5,55,28,62,颗粒物(PM10)
北京市,房山燕山,2024-11-06T1500,115.9577,39.7603,36,71,0.4,32,4,49,34,61,颗粒物(PM10)
北京市,大兴旧宫,2024-11-06T1500,116.4672,39.7733,45,79,0.3,44,2,43,22,65,颗粒物(PM10)
北京市,延庆石河营,2024-11-06T1500,115.986,40.4563,14,31,0.3,22,3,45,27,31,
北京市,怀柔新城,2024-11-06T1500,116.6151,40.3053,20,33,0.3,22,3,53,39,33,
北京市,丰台小屯,2024-11-06T1500,116.2545,39.8768,43,88,0.5,45,5,37,18,69,颗粒物(PM10)
北京市,密云镇,2024-11-06T1500,116.84,40.3844,17,40,0.4,16,3,54,31,40,
本溪市,大峪,2024-11-06T1500,123.8275,41.3064,13,,0.4,9,11,65,43,21,
本溪市,溪湖,2024-11-06T1500,123.7567,41.3325,7,21,0.3,8,8,70,49,22,
