area,positionname,longitude,latitude,timepoint,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
阿坝藏族羌族自治州,马师校,102.2503,31.8896,2026-02-22T0700,6,17,0.2,3,4,49,,17,
阿坝藏族羌族自治州,马尔康中学西区,102.2174,31.9016,2026-02-22T0700,6,19,0.4,4,4,47,,19,
阿克苏地区,电视台,80.2899,41.1684,2026-02-22T0700,48,139,0.9,12,12,72,,95,颗粒物(PM10)
阿克苏地区,艺术中心,80.2592,41.1541,2026-02-22T0700,59,160,0.7,17,3,70,,105,颗粒物(PM10)
阿拉善盟,蒙二幼,105.699,38.8409,2026-02-22T0700,71,281,0.5,9,9,81,,166,颗粒物(PM10)
阿拉善盟,环保局新楼,105.7198,38.8508,2026-02-22T0700,70,293,0.5,4,9,85,,172,颗粒物(PM10)
阿勒泰地区,市站,88.1266,47.8515,2026-02-22T0700,3,10,0.3,16,7,75,,24,
阿勒泰地区,阿勒泰路33号,88.1198,47.7931,2026-02-22T0700,3,13,0.3,7,8,82,,26,
阿里地区,阿里监测站,80.1171,32.4999,2026-02-22T0700,3,15,0.4,9,7,72,,23,
阿里地区,阿里藏医院,80.0906,32.5029,2026-02-22T0700,3,13,0.4,9,13,74,,24,
安康市,汉滨区检察院,109.0088,32.6974,2026-02-22T0700,31,42,0.4,10,2,23,,45,
安康市,市邮政管理局,109.0324,32.6913,2026-02-22T0700,34,52,0.6,12,4,22,,51,颗粒物(PM10)
安庆市,环科院,117.0806,30.5181,2026-02-22T0700,41,48,0.8,26,8,30,,58,细颗粒物(PM2.5)
安庆市,马山宾馆,117.0331,30.5118,2026-02-22T0700,47,50,0.7,22,8,38,,65,细颗粒物(PM2.5)
安庆市,安庆大学,116.9897,30.6146,2026-02-22T0700,33,42,0.7,7,6,50,,48,
安庆市,市人大,117.0598,30.5351,2026-02-22T0700,46,55,0.8,22,9,32,,64,细颗粒物(PM2.5)
安顺市,凤凰山,105.9408,26.2431,2026-02-22T0700,24,30,0.4,5,8,55,,35,
安顺市,金钟山,105.9443,26.2567,2026-02-22T0700,28,31,0.6,5,8,54,,40,
安顺市,娄家坡,105.8983,26.248,2026-02-22T0700,23,30,0.5,5,10,53,,33,
安阳市,红庙街,114.3552,36.1017,2026-02-22T0700,105,519,0.4,5,3,86,,419,颗粒物(PM10)
安阳市,银杏小区,114.361,36.0681,2026-02-22T0700,124,547,0.3,7,6,88,,447,颗粒物(PM10)
安阳市,信访局,114.3921,36.0879,2026-02-22T0700,109,504,0.3,2,3,95,,404,颗粒物(PM10)
安阳市,左辅环卫站,114.4706,36.0634,2026-02-22T0700,108,546,0.3,5,4,91,,446,颗粒物(PM10)
安阳市,钢三路198号,114.2918,36.0769,2026-02-22T0700,120,630,0.3,5,1,86,,500,颗粒物(PM10)
鞍山市,深沟寺,123.0441,41.1201,2026-02-22T0700,8,41,1.3,19,16,58,,41,
鞍山市,太阳城,123.011,41.0931,2026-02-22T0700,3,29,0.6,8,11,60,,29,
鞍山市,太平,123.0483,41.1445,2026-02-22T0700,7,41,0.5,9,10,54,,41,
鞍山市,铁西三道街,122.964,41.0968,2026-02-22T0700,24,76,0.6,23,17,46,,63,颗粒物(PM10)
鞍山市,明达新区,123.0219,41.0822,2026-02-22T0700,7,32,0.5,14,12,57,,32,
鞍山市,兴盛南路290号,122.944647,41.082639,2026-02-22T0700,17,60,0.6,19,8,50,,55,颗粒物(PM10)
巴彦淖尔市,附二中,107.4206,40.7609,2026-02-22T0700,15,73,0.5,2,6,66,,62,颗粒物(PM10)
巴彦淖尔市,市环保大楼,107.37,40.7372,2026-02-22T0700,18,68,0.4,3,4,64,,59,颗粒物(PM10)
巴音郭楞蒙古自治州,孔雀公园,86.1476,41.7529,2026-02-22T0700,16,96,0.4,4,10,73,,73,颗粒物(PM10)
巴音郭楞蒙古自治州,棉纺厂,86.1971,41.7166,2026-02-22T0700,20,130,/,12,/,61,,90,颗粒物(PM10)
巴音郭楞蒙古自治州,经济开发区,86.236,41.7172,2026-02-22T0700,9,78,0.4,3,7,67,,64,颗粒物(PM10)
巴中市,市五中,106.776805,31.852614,2026-02-22T0700,50,60,1.0,17,8,20,,69,细颗粒物(PM2.5)
巴中市,圣泉水务公司,106.7419,31.8654,2026-02-22T0700,41,47,0.7,14,7,32,,58,细颗粒物(PM2.5)
巴中市,市中心医院,106.7617,31.8343,2026-02-22T0700,59,64,1.2,22,7,4,,80,细颗粒物(PM2.5)
白城市,洮北区环保局,122.7909,45.608,2026-02-22T0700,25,31,0.2,8,4,70,,36,
白城市,市环保局,122.8741,45.5725,2026-02-22T0700,20,,0.4,10,4,78,,29,
白山市,喜丰,126.4219,41.9172,2026-02-22T0700,10,105,0.9,4,8,61,,78,颗粒物(PM10)
白山市,环保局,126.4082,41.9416,2026-02-22T0700,11,94,0.8,5,9,68,,72,颗粒物(PM10)
白银市,第三小学,104.1727,36.5448,2026-02-22T0700,151,528,0.5,10,5,51,,428,颗粒物(PM10)
白银市,动力公司,104.1467,36.5482,2026-02-22T0700,139,507,0.5,10,4,40,,407,颗粒物(PM10)
百色市,市监测站,106.6102,23.901,2026-02-22T0700,59,62,0.6,16,14,27,,80,细颗粒物(PM2.5)
百色市,市中心血站,106.6524,23.8842,2026-02-22T0700,70,,0.9,19,19,29,,94,细颗粒物(PM2.5)
百色市,龙景西路,106.6273,23.8798,2026-02-22T0700,66,90,0.6,16,16,26,,89,细颗粒物(PM2.5)
蚌埠市,工人疗养院,117.396,32.9389,2026-02-22T0700,45,149,0.7,14,6,61,,100,颗粒物(PM10)
蚌埠市,百货大楼,117.3606,32.9428,2026-02-22T0700,46,142,0.6,12,8,58,,96,颗粒物(PM10)
蚌埠市,蚌埠学院,117.4183,32.8909,2026-02-22T0700,49,92,0.6,11,5,52,,71,颗粒物(PM10)
蚌埠市,淮上区政府,117.3534,32.9672,2026-02-22T0700,46,134,0.7,16,7,57,,92,颗粒物(PM10)
蚌埠市,高新区,117.3143,32.8977,2026-02-22T0700,46,168,0.6,6,8,59,,109,颗粒物(PM10)
蚌埠市,蚌埠田家炳中学,117.3091,32.9314,2026-02-22T0700,52,164,0.6,11,7,59,,107,颗粒物(PM10)
包头市,市环境监测站,109.8761,40.6533,2026-02-22T0700,30,52,0.4,4,4,86,,51,颗粒物(PM10)
包头市,包头八中,109.9992,40.5843,2026-02-22T0700,18,45,0.5,5,4,78,,45,
包头市,惠龙物流,109.8641,40.6288,2026-02-22T0700,14,64,0.5,4,7,88,,57,颗粒物(PM10)
包头市,东河鸿龙湾,110.0376,40.5546,2026-02-22T0700,13,23,0.3,10,7,69,,23,
包头市,滨河大厦,109.9154,40.5684,2026-02-22T0700,18,59,0.7,6,7,79,,55,颗粒物(PM10)
包头市,包头市委党校,109.9449,40.6259,2026-02-22T0700,20,48,0.6,3,6,80,,48,
包头市,昆区政府,109.8332,40.6577,2026-02-22T0700,16,58,0.4,6,6,85,,54,颗粒物(PM10)
宝鸡市,竹园沟,107.0802,34.3129,2026-02-22T0700,43,235,0.2,13,5,46,,143,颗粒物(PM10)
宝鸡市,监测站,107.1429,34.3549,2026-02-22T0700,41,249,0.4,10,4,28,,150,颗粒物(PM10)
宝鸡市,技工学校,107.1172,34.3759,2026-02-22T0700,73,273,0.4,14,11,33,,162,颗粒物(PM10)
宝鸡市,文理学院,107.2025,34.3518,2026-02-22T0700,82,290,0.5,12,5,34,,170,颗粒物(PM10)
宝鸡市,三迪小学,107.2396,34.3626,2026-02-22T0700,79,296,0.4,20,3,28,,173,颗粒物(PM10)
宝鸡市,滨河北路,107.1721,34.3558,2026-02-22T0700,77,289,0.4,13,7,33,,170,颗粒物(PM10)
宝鸡市,陈仓区北开路21号,107.3898,34.3601,2026-02-22T0700,78,360,0.6,17,77,38,,215,颗粒物(PM10)
保定市,游泳馆,115.4803,38.8568,2026-02-22T0700,15,33,0.2,7,5,72,,33,
保定市,华电二区,115.509,38.8895,2026-02-22T0700,3,23,0.8,7,2,76,,24,
保定市,接待中心,115.4588,38.9037,2026-02-22T0700,10,30,0.2,3,1,72,,30,
保定市,地表水厂,115.4484,38.8344,2026-02-22T0700,3,46,0.2,14,2,66,,46,
保定市,满城区生态环境分局,115.3136,38.9511,2026-02-22T0700,3,19,0.5,3,3,72,,23,
保定市,清苑区第二中学,115.4709,38.7628,2026-02-22T0700,7,32,0.2,2,6,73,,32,
保定市,徐水物探局,115.6231,39.0223,2026-02-22T0700,,,,,,,102,,
保定市,双鹰农机,115.4199,38.8665,2026-02-22T0700,8,25,0.3,2,2,80,,25,
保定市,植保所站,115.515,38.8589,2026-02-22T0700,3,36,0.5,4,3,75,,36,
保山市,市环境监测站,99.1589,25.1137,2026-02-22T0700,19,23,0.3,6,4,74,,28,
保山市,市环保局,99.1616,25.1381,2026-02-22T0700,19,33,0.4,3,3,88,,33,
北海市,海滩公园,109.1435,21.4085,2026-02-22T0700,19,30,0.7,10,3,54,,30,
北海市,新市环保局,109.0983,21.466,2026-02-22T0700,15,25,0.5,12,4,51,,25,
北海市,北海工业园,109.1775,21.5232,2026-02-22T0700,37,45,0.9,14,8,33,,53,细颗粒物(PM2.5)
北海市,龙潭自来水厂,109.1844,21.4396,2026-02-22T0700,15,17,0.8,4,2,51,,22,
北京市,万寿西宫,116.3611,39.8786,2026-02-22T0700,3,18,0.4,1,1,80,,25,
北京市,东四,116.4174,39.9289,2026-02-22T0700,3,6,0.1,6,4,58,,19,
北京市,天坛,116.4073,39.8858,2026-02-22T0700,6,25,0.4,5,1,70,,25,
北京市,农展馆,116.4622,39.9364,2026-02-22T0700,3,17,0.4,2,5,74,,24,
北京市,官园,116.3399,39.9293,2026-02-22T0700,3,19,0.3,3,3,70,,22,
北京市,海淀万柳,116.2879,39.9613,2026-02-22T0700,3,15,0.3,6,2,67,,21,
北京市,顺义新城,116.6635,40.1349,2026-02-22T0700,3,16,0.4,2,5,76,,24,
北京市,怀柔镇,116.6275,40.327,2026-02-22T0700,3,13,0.5,2,3,75,,24,
北京市,昌平镇,116.2295,40.217,2026-02-22T0700,3,17,0.5,6,2,70,,22,
北京市,奥体中心,116.3968,39.982,2026-02-22T0700,3,18,0.3,5,4,67,,21,
北京市,密云新城,116.8336,40.4095,2026-02-22T0700,3,14,0.2,3,3,71,,23,
北京市,门头沟三家店,116.0879,39.9725,2026-02-22T0700,3,18,0.3,2,3,75,,24,
北京市,丰台云岗,116.1507,39.8246,2026-02-22T0700,3,18,0.3,1,2,83,,26,
北京市,房山燕山,115.9578,39.7602,2026-02-22T0700,3,16,0.3,1,4,77,,25,
北京市,大兴旧宫,116.4669,39.7734,2026-02-22T0700,3,18,0.3,5,3,73,,23,
北京市,延庆石河营,115.9859,40.4562,2026-02-22T0700,3,18,0.3,2,1,68,,22,
北京市,怀柔新城,116.6151,40.3052,2026-02-22T0700,3,14,0.2,1,2,78,,25,
北京市,丰台小屯,116.2542,39.8764,2026-02-22T0700,3,20,0.3,2,3,65,,21,
北京市,密云镇,116.8399,40.3843,2026-02-22T0700,3,13,0.3,4,3,72,,23,
北京市,延庆百泉,115.9423,40.4431,2026-02-22T0700,3,16,0.2,2,3,71,,23,
北京市,通州新华,116.6598,39.9164,2026-02-22T0700,18,21,0.4,7,2,68,,26,
北京市,石景山八角,116.1942,39.9158,2026-02-22T0700,3,18,0.2,3,2,65,,21,
北京市,平谷新城,117.078628,40.151726,2026-02-22T0700,3,16,0.4,2,2,72,,23,
本溪市,大峪,123.8274146,41.31234549,2026-02-22T0700,3,90,0.6,11,9,60,,70,颗粒物(PM10)
本溪市,彩屯,123.7169,41.3094,2026-02-22T0700,3,78,0.6,6,7,65,,64,颗粒物(PM10)
本溪市,东明,123.7672166,41.28649327,2026-02-22T0700,3,80,0.7,9,11,58,,65,颗粒物(PM10)
本溪市,新立屯,123.799345,41.266614,2026-02-22T0700,3,72,1.0,9,10,56,,61,颗粒物(PM10)
本溪市,威宁,123.829144,41.336777,2026-02-22T0700,6,116,0.4,5,5,67,,83,颗粒物(PM10)
毕节市,八中,105.287,27.3133,2026-02-22T0700,47,70,0.8,8,9,31,,65,细颗粒物(PM2.5)
毕节市,师专,105.3079,27.2987,2026-02-22T0700,47,70,0.6,7,11,80,,65,细颗粒物(PM2.5)
毕节市,工业大道,105.3688,27.3598,2026-02-22T0700,51,68,/,5,11,86,,70,细颗粒物(PM2.5)
滨州市,第二水厂,117.9961,37.3604,2026-02-22T0700,3,66,0.5,8,7,67,,58,颗粒物(PM10)
滨州市,北中新校,117.9789,37.3931,2026-02-22T0700,3,63,0.3,9,4,62,,57,颗粒物(PM10)
滨州市,中海酒店,117.9379,37.3959,2026-02-22T0700,3,73,0.5,10,6,65,,62,颗粒物(PM10)
滨州市,开发区一中,117.9381509,37.35547456,2026-02-22T0700,3,88,0.6,4,11,64,,69,颗粒物(PM10)
滨州市,金海六路,118.0914,37.6938,2026-02-22T0700,3,46,0.4,8,4,67,,46,
滨州市,滨州市西街道办事处,117.9955,37.3752,2026-02-22T0700,7,75,0.2,4,6,71,,63,颗粒物(PM10)
亳州市,污水处理厂,115.8071,33.8399,2026-02-22T0700,40,319,0.3,6,5,65,,185,颗粒物(PM10)
亳州市,三国揽胜宫,115.7789,33.8519,2026-02-22T0700,38,264,0.1,5,4,64,,157,颗粒物(PM10)
亳州市,亳州学院,115.7631,33.803,2026-02-22T0700,37,263,0,4,3,70,,157,颗粒物(PM10)
